method,budget,actual_bops,bops_abs_delta,variant,parameter_count_pruned,physical_parameter_mib_fp32,parameter_reduction,canonical_int8_count,canonical_fp16_count,canonical_fp32_count,AP@0.3,AP@0.5,AP@0.7,mAP,forward_p50_ms,forward_p90_ms,forward_p99_ms,speedup_vs_fresh_fp32,num_evaluated_frames,num_skipped_frames,source_engine_reused,cache_hit,engine_built_this_run,evaluation_executed_this_run,all_deployment_checks_passed,candidate_hash,engine_hash,artifact_dir,resource_artifact_dir
ga,0.15,0.1545257717370987,0.004525771737098699,prune_quant,4298167,16.39620590209961,0.21348007636522603,10,31,29,0.8261801546959558,0.7812602213270949,0.6023354510099247,0.7365919423443251,4.563746741041541,4.821615216011803,26.92598707972775,1.540752223820145,1789,0,True,False,False,True,True,f7d76246679b40d55803dd30470f0de70303c1c30822b6d9f87ed1e5b3542cc4,ebe44ee96e4652e6b66b13dc89033b05e3ede730446d60485a0623665e02fe62,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.15/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_ga_20260716_234248/round_003/stage2/f7d76246679b40d55803dd30470f0de70303c1c30822b6d9f87ed1e5b3542cc4
ga,0.15,0.1545257717370987,0.004525771737098699,quant_only,5464791,20.84652328491211,0.0,10,31,29,0.826393953443095,0.7815566374555096,0.6022485737650654,0.7367330548878899,4.677444385985534,4.946650471538305,24.88701167515115,1.503300169913221,1789,0,False,False,True,True,True,d2a211a37f3fc4d8d7b6919f653eacb94f297813b919d209e4a664759f0df4fd,f1d0bb24a6cd2b807d7fe5c4721fc7dc625db44a86b9a39e9e54be6aa686c43e,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.15/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.15/quant_only
ga,0.1,0.10495740920305252,0.004957409203052515,prune_only,4258667,16.245525360107422,0.22070816614944655,0,1,69,0.8261577781776044,0.7815448356595014,0.6023089655691554,0.7366705264687538,6.045439979061484,6.251890057077011,28.344246493636955,1.1631250933870498,1789,0,False,False,True,True,True,3187b5ced1da211a3cc190ef79cff2eda35fa9e7363b1832007cdd38e81e9375,0000c2936eb42dd348e807acf69741a0ba821e8158dc87df0878ee563b409f44,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.10/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.10/prune_only
ga,0.1,0.10495740920305252,0.004957409203052515,prune_quant,4258667,16.245525360107422,0.22070816614944655,14,47,9,0.8259429928644404,0.7815194325726634,0.6019558251269805,0.7364727501880282,3.492287049690882,3.7395754829049115,21.304491003965307,2.013466487765973,1789,0,True,False,False,True,True,702e8db80f4561f01db09e66e9d8cd3cecd85636b3cdee3348f8a7fc157012e3,444f64eb6e10496a62a770fea05a926b2ca0add9aa4bf8ebd8795c3a3772b51b,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.10/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_ga_20260716_234248/round_004/stage2/702e8db80f4561f01db09e66e9d8cd3cecd85636b3cdee3348f8a7fc157012e3
ga,0.1,0.10495740920305252,0.004957409203052515,quant_only,5464791,20.84652328491211,0.0,14,47,9,0.8262256335723359,0.7815367238945415,0.6024846028178096,0.7367489867615623,3.5621206431339183,3.749704997365673,20.434767945349016,1.973993484405222,1789,0,False,False,True,True,True,b76519dbc7afd318b19cb16659c218d7d44db0659938e145a7ef50f66fb50fac,57d2e8e3fd851c2a4b17a590cbb495b00e90cec99c266fc84b58aa560144515a,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.10/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.10/quant_only
ga,0.05,0.0548066571354866,0.0048066571354866,prune_only,3053007,11.646297454833984,0.44133142511763035,0,1,69,0.825666914954808,0.781418111608731,0.6020974763689934,0.7363941676441774,5.729563068598509,5.948694547017415,32.389948389788216,1.2272494178045017,1789,0,False,False,True,True,True,d758c511064f7758e16ecc54a429d4c468cc51bdd5e2e46c86d3b974c39d11e8,fa75ddde006d1314d70311836560da320315abb03c29d01abaaf20afdf13123b,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.05/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.05/prune_only
ga,0.05,0.0548066571354866,0.0048066571354866,prune_quant,3053007,11.646297454833984,0.44133142511763035,32,37,1,0.7965395115064888,0.7538130163200045,0.5727004521792844,0.7076843266685926,3.2444073197742305,3.4581619004408517,19.470797255624785,2.1672996782355316,1789,0,True,False,False,True,True,abfefc9d324dc6ed2f81bf36b727dc8ae4e373ea057d8de4fad9bf2472324098,4cb7794d5dfcb46da51c52d7439e8c2a6fa5bd6e2f206fce4f875fdda0373e89,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.05/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_domain_width_joint_ga_20260716_234248/round_005/stage2/abfefc9d324dc6ed2f81bf36b727dc8ae4e373ea057d8de4fad9bf2472324098
ga,0.05,0.0548066571354866,0.0048066571354866,quant_only,5464791,20.84652328491211,0.0,32,37,1,0.8041063931178232,0.7580353533740753,0.5590363497947237,0.707059365428874,3.3369503604869046,3.5636890834818287,27.74124105770437,2.1071943483108004,1789,0,False,False,True,True,True,e6e15381aeb82ded6f9382229e455c8fe787e3989ee5260c475d475b6e6040ab,5c3e250360740ad3ea1275e5e0752a52fd423c3c4abedd0e2e31bbb3e074645e,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.05/quant_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/ga/bops_0.05/quant_only
greedy,0.3,0.3019222021102905,0.0019222021102905384,prune_only,4316459,16.465984344482422,0.21013283033148022,0,1,69,0.8262661490938178,0.7816198290542767,0.6022611209907545,0.7367156997129497,6.101444674034913,6.3408248747388525,32.40984647222736,1.1524488569297577,1789,0,False,False,True,True,True,8fd3a0af25602a66bd5555903f3668694bf99273a5c289b2297c7df005ac6dbf,4f1e6c967a81a2ba8c2004b1c85c381813a4f44b8964b3525bf07114a8633e0a,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_only
greedy,0.3,0.3019222021102905,0.0019222021102905384,prune_quant,4316459,16.465984344482422,0.21013283033148022,0,26,44,0.8261665961236447,0.7816934038313931,0.602280343355299,0.7367134477701122,6.5822601318359375,6.781910872086883,26.35363907551799,1.068265732343584,1789,0,False,False,True,True,True,f3fccadcceb887e5a0a207183553052ed309f931260e7d7bfa17760615ce0939,529d8537ed038c526e69cc686574b7cc8c1c2ad43df173b170e29f153f6d5d8b,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_quant,/home/lixingfeng/UniAD_examine/heal_compress/outputs/h800_lidar_pyramid_prune_quant_ablation_20260718_124729/candidates/greedy/bops_0.30/prune_quant
