frame_id,round_id,model_type,total_time_ms,forward_time_ms,postprocess_time_ms,data_to_gpu_time_ms,success,skip_reason
116,1,baseline,21.962,11.873,3.972,6.117,True,
117,1,baseline,23.561,12.314,4.248,6.999,True,
118,1,baseline,33.619,23.288,4.753,5.578,True,
119,1,baseline,27.422,18.157,3.848,5.417,True,
120,1,baseline,22.006,12.045,4.632,5.329,True,
121,1,baseline,22.999,11.844,3.829,7.326,True,
122,1,baseline,38.909,29.529,3.864,5.516,True,
123,1,baseline,27.871,18.574,3.564,5.733,True,
124,1,baseline,21.932,11.983,4.007,5.942,True,
125,1,baseline,23.17,12.111,3.955,7.105,True,
126,1,baseline,22.09,12.203,4.2,5.687,True,
127,1,baseline,26.921,11.597,3.745,11.579,True,
128,1,baseline,158.187,13.109,74.626,70.452,True,
129,1,baseline,24.035,12.669,3.963,7.404,True,
130,1,baseline,31.782,13.689,12.413,5.679,True,
131,1,baseline,43.747,27.571,10.626,5.549,True,
132,1,baseline,19.267,11.651,3.906,3.71,True,
133,1,baseline,22.844,14.679,3.713,4.453,True,
134,1,baseline,21.742,12.039,3.603,6.101,True,
135,1,baseline,21.703,11.969,3.77,5.964,True,
136,1,baseline,20.905,11.485,3.525,5.895,True,
137,1,baseline,33.119,16.699,4.378,12.042,True,
138,1,baseline,21.452,12.019,3.622,5.812,True,
139,1,baseline,36.04,20.381,3.828,11.831,True,
140,1,baseline,21.855,12.45,3.739,5.667,True,
141,1,baseline,21.822,11.32,3.627,6.875,True,
142,1,baseline,20.715,11.892,3.652,5.171,True,
143,1,baseline,28.077,12.323,9.999,5.756,True,
144,1,baseline,22.64,13.632,3.653,5.355,True,
145,1,baseline,22.018,11.362,3.653,7.003,True,
146,1,baseline,24.055,12.749,5.814,5.493,True,
147,1,baseline,21.921,12.216,3.76,5.944,True,
148,1,baseline,22.169,12.436,3.88,5.852,True,
149,1,baseline,24.085,12.486,4.437,7.161,True,
150,1,baseline,21.786,12.324,3.853,5.609,True,
151,1,baseline,52.546,41.813,4.703,6.03,True,
152,1,baseline,21.489,11.706,3.747,6.036,True,
153,1,baseline,22.444,11.61,4.035,6.8,True,
154,1,baseline,22.12,12.6,4.206,5.315,True,
155,1,baseline,22.334,12.114,4.074,6.146,True,
156,1,baseline,22.388,12.399,4.094,5.895,True,
157,1,baseline,28.46,11.952,3.829,12.679,True,
158,1,baseline,22.14,12.404,3.947,5.789,True,
159,1,baseline,21.924,11.811,4.041,6.071,True,
160,1,baseline,22.71,11.973,4.305,6.432,True,
161,1,baseline,21.695,11.499,3.75,6.446,True,
162,1,baseline,21.692,12.267,3.913,5.512,True,
163,1,baseline,22.456,12.579,3.707,6.17,True,
164,1,baseline,21.47,12.059,3.656,5.755,True,
165,1,baseline,25.152,14.581,3.699,6.873,True,
166,1,baseline,23.999,13.497,4.268,6.234,True,
167,1,baseline,23.139,12.785,4.077,6.276,True,
168,1,baseline,27.462,14.679,5.881,6.902,True,
169,1,baseline,24.946,12.279,3.771,8.896,True,
170,1,baseline,26.429,16.75,4.036,5.643,True,
171,1,baseline,21.585,11.964,3.733,5.888,True,
172,1,baseline,26.642,16.52,4.292,5.83,True,
173,1,baseline,23.243,11.87,3.852,7.521,True,
174,1,baseline,22.258,12.843,3.827,5.588,True,
175,1,baseline,22.22,12.429,3.704,6.087,True,
176,1,baseline,22.894,12.852,4.027,6.015,True,
177,1,baseline,22.65,11.566,3.765,7.32,True,
178,1,baseline,21.189,11.507,3.663,6.019,True,
179,1,baseline,22.975,13.365,3.746,5.864,True,
180,1,baseline,74.672,49.071,19.669,5.932,True,
181,1,baseline,55.247,27.622,10.293,17.332,True,
182,1,baseline,21.062,11.556,3.654,5.851,True,
183,1,baseline,21.345,11.832,3.622,5.892,True,
184,1,baseline,45.005,23.534,9.805,11.666,True,
185,1,baseline,52.207,33.357,9.32,9.53,True,
186,1,baseline,39.905,17.799,10.112,11.993,True,
187,1,baseline,27.61,12.064,3.861,11.684,True,
188,1,baseline,26.647,11.563,3.534,11.551,True,
189,1,baseline,22.368,11.754,3.544,7.07,True,
190,1,baseline,20.845,11.508,3.664,5.673,True,
191,1,baseline,21.977,12.408,3.705,5.865,True,
192,1,baseline,28.484,16.192,4.671,7.62,True,
193,1,baseline,23.44,12.36,3.707,7.373,True,
194,1,baseline,21.423,11.82,3.656,5.947,True,
195,1,baseline,24.434,11.75,6.419,6.265,True,
196,1,baseline,34.012,17.596,3.669,12.747,True,
197,1,baseline,23.454,12.192,3.789,7.473,True,
198,1,baseline,21.169,11.596,3.659,5.914,True,
199,1,baseline,20.786,11.489,3.547,5.749,True,
200,1,baseline,20.971,11.516,3.624,5.831,True,
201,1,baseline,23.562,12.429,3.818,7.315,True,
202,1,baseline,21.433,11.608,3.58,6.246,True,
203,1,baseline,21.1,11.46,3.584,6.055,True,
204,1,baseline,20.871,11.544,3.507,5.82,True,
205,1,baseline,49.647,20.539,11.061,18.047,True,
206,1,baseline,20.847,11.546,3.661,5.64,True,
207,1,baseline,20.711,11.54,3.589,5.581,True,
208,1,baseline,20.65,11.366,3.681,5.603,True,
209,1,baseline,22.99,12.113,3.784,7.092,True,
210,1,baseline,20.898,11.416,3.657,5.825,True,
211,1,baseline,22.175,11.204,3.564,7.407,True,
212,1,baseline,20.334,11.424,3.504,5.406,True,
213,1,baseline,24.855,12.286,4.712,7.857,True,
214,1,baseline,20.591,11.576,3.622,5.392,True,
215,1,baseline,21.669,11.614,3.631,6.424,True,
216,1,baseline,20.795,11.565,3.576,5.654,True,
217,1,baseline,49.809,23.0,4.352,22.457,True,
218,1,baseline,21.845,12.151,3.934,5.76,True,
219,1,baseline,22.286,12.257,3.817,6.212,True,
220,1,baseline,21.914,12.05,3.66,6.204,True,
221,1,baseline,34.835,17.742,3.837,13.256,True,
222,1,baseline,21.258,11.59,3.714,5.954,True,
223,1,baseline,20.806,11.687,3.719,5.4,True,
224,1,baseline,21.195,11.62,3.656,5.919,True,
225,1,baseline,23.521,12.34,3.935,7.245,True,
226,1,baseline,21.523,11.926,3.691,5.906,True,
227,1,baseline,21.194,11.576,3.615,6.003,True,
228,1,baseline,39.423,23.561,10.137,5.725,True,
229,1,baseline,24.426,12.972,3.915,7.54,True,
230,1,baseline,22.703,12.149,4.041,6.514,True,
231,1,baseline,23.348,13.113,4.157,6.079,True,
232,1,baseline,26.796,15.778,4.87,6.148,True,
233,1,baseline,35.924,18.645,9.896,7.383,True,
234,1,baseline,46.757,18.549,10.081,18.127,True,
235,1,baseline,54.351,26.417,21.769,6.165,True,
236,1,baseline,31.23,14.182,4.478,12.57,True,
237,1,baseline,26.044,13.439,4.611,7.993,True,
238,1,baseline,44.606,34.351,4.071,6.184,True,
239,1,baseline,22.642,12.426,3.975,6.241,True,
240,1,baseline,25.52,14.591,4.661,6.269,True,
241,1,baseline,60.697,35.342,9.965,15.39,True,
242,1,baseline,40.517,26.929,7.479,6.109,True,
243,1,baseline,42.818,25.84,10.713,6.265,True,
244,1,baseline,22.508,12.462,3.921,6.125,True,
245,1,baseline,44.039,18.17,3.838,22.03,True,
246,1,baseline,22.171,12.191,3.823,6.157,True,
247,1,baseline,22.726,12.397,4.0,6.33,True,
248,1,baseline,22.1,12.014,3.816,6.269,True,
249,1,baseline,23.264,11.84,3.807,7.616,True,
250,1,baseline,25.368,13.206,6.161,6.001,True,
251,1,baseline,80.682,49.055,25.438,6.188,True,
252,1,baseline,41.592,19.347,10.164,12.081,True,
253,1,baseline,47.464,24.184,3.836,19.444,True,
254,1,baseline,54.697,24.597,10.052,20.047,True,
255,1,baseline,24.175,14.119,3.953,6.104,True,
256,1,baseline,48.887,21.125,4.478,23.284,True,
257,1,baseline,25.409,14.055,3.967,7.388,True,
258,1,baseline,22.347,12.181,3.853,6.313,True,
259,1,baseline,21.893,11.911,3.8,6.181,True,
260,1,baseline,22.261,12.035,3.915,6.312,True,
261,1,baseline,22.89,11.818,3.779,7.293,True,
262,1,baseline,22.254,12.233,3.819,6.203,True,
263,1,baseline,22.649,12.33,3.98,6.339,True,
264,1,baseline,22.833,12.594,3.786,6.452,True,
265,1,baseline,24.139,12.318,4.108,7.712,True,
266,1,baseline,21.974,11.87,3.768,6.336,True,
267,1,baseline,23.683,13.129,3.964,6.59,True,
268,1,baseline,23.094,12.878,3.86,6.357,True,
269,1,baseline,25.255,12.304,4.469,8.483,True,
270,1,baseline,50.295,25.218,11.73,13.347,True,
271,1,baseline,32.516,12.3,3.905,16.311,True,
272,1,baseline,35.32,18.982,9.913,6.425,True,
273,1,baseline,24.296,12.569,3.981,7.746,True,
274,1,baseline,22.004,11.96,3.819,6.225,True,
275,1,baseline,24.179,12.686,4.105,7.389,True,
276,1,baseline,22.606,11.952,4.266,6.388,True,
277,1,baseline,24.864,12.938,3.961,7.965,True,
278,1,baseline,22.187,12.327,4.04,5.821,True,
279,1,baseline,38.018,16.484,10.112,11.422,True,
280,1,baseline,22.17,12.089,3.885,6.196,True,
281,1,baseline,24.513,12.747,4.097,7.67,True,
282,1,baseline,22.798,12.277,4.066,6.455,True,
283,1,baseline,27.065,15.694,4.715,6.656,True,
284,1,baseline,23.007,12.792,3.934,6.281,True,
285,1,baseline,23.336,11.986,3.739,7.611,True,
286,1,baseline,28.01,11.922,3.833,12.256,True,
287,1,baseline,22.986,12.708,4.045,6.233,True,
288,1,baseline,37.652,15.701,15.992,5.959,True,
289,1,baseline,60.638,26.807,20.208,13.622,True,
290,1,baseline,22.184,12.169,3.978,6.037,True,
