gpu_id,sequence_index,item_id,method,assigned_method,variant,budget,actual_bops,parameter_count_base,parameter_count_pruned,parameter_reduction,AP@0.3,AP@0.5,AP@0.7,mAP,forward_p50_ms,forward_p90_ms,forward_p99_ms,speedup_vs_same_gpu_fp32,int8_count,fp16_count,fp32_count,evaluated_frames,skipped_frames,frame_order_hash,engine_sha256,cache_cleanup_passed,engine_build_invoked
0,11,ga_bops_0.15_prune_only,ga,ga,prune_only,0.15,0.1545257717370987,5464791,4298167,0.21348007636522603,0.8261689880113461,0.7815427863518274,0.6023577026214365,0.7366898256615366,6.184090704967578,6.516944492856662,36.34118593296442,1.183392292720954,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,f9919a0d448f23cddffc4dffa911f500402ccfaf5a09e9dad1dac821b2a1fbd2,True,False
0,12,ga_bops_0.15_quant_only,ga,ga,quant_only,0.15,0.1545257717370987,5464791,5464791,0.0,0.8262621699976962,0.7814124793495004,0.6021500684028408,0.7366082392500125,4.844787608211239,6.233088237543904,33.338451118504985,1.510531703256214,10,31,29,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,f1d0bb24a6cd2b807d7fe5c4721fc7dc625db44a86b9a39e9e54be6aa686c43e,True,False
0,13,ga_bops_0.10_prune_quant,ga,ga,prune_quant,0.1,0.10495740920305252,,,,0.8260618018511644,0.7814705262546087,0.6024289292418339,0.7366537524492024,3.6175313871353865,3.9583332991848392,22.699620810637207,2.0229832155073537,14,47,9,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,444f64eb6e10496a62a770fea05a926b2ca0add9aa4bf8ebd8795c3a3772b51b,True,False
0,14,ga_bops_0.10_prune_only,ga,ga,prune_only,0.1,0.10495740920305252,5464791,4258667,0.22070816614944655,0.8263035657576088,0.7816466165105084,0.6023722825083618,0.736774154925493,6.226288620382547,6.512386165559292,28.093661519992942,1.1753719950901163,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,0000c2936eb42dd348e807acf69741a0ba821e8158dc87df0878ee563b409f44,True,False
0,15,ga_bops_0.10_quant_only,ga,ga,quant_only,0.1,0.10495740920305252,5464791,5464791,0.0,0.8264470275375759,0.7815846974110752,0.6023991313957796,0.7368102854481435,3.6670240418364606,3.927166030431787,21.19131355545337,1.9956796558336538,14,47,9,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,57d2e8e3fd851c2a4b17a590cbb495b00e90cec99c266fc84b58aa560144515a,True,False
0,16,ga_bops_0.05_prune_quant,ga,ga,prune_quant,0.05,0.0548066571354866,,,,0.7968566013956682,0.7535469722565435,0.5724718846914396,0.7076251527812172,3.3379599917680025,3.653775171066324,26.276047180086408,2.1924185118437327,32,37,1,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,4cb7794d5dfcb46da51c52d7439e8c2a6fa5bd6e2f206fce4f875fdda0373e89,True,False
0,17,ga_bops_0.05_prune_only,ga,ga,prune_only,0.05,0.0548066571354866,5464791,3053007,0.44133142511763035,0.8256720876401954,0.7812395136794912,0.6019809917121026,0.7362975310105965,5.819941638037562,6.071534628669421,28.626622778037046,1.257436196596219,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,fa75ddde006d1314d70311836560da320315abb03c29d01abaaf20afdf13123b,True,False
0,18,ga_bops_0.05_quant_only,ga,ga,quant_only,0.05,0.0548066571354866,5464791,5464791,0.0,0.8036828827553967,0.75749704107287,0.5610833761165627,0.7074210999816097,3.4920840989798307,4.0579427654544515,22.499957925938908,2.09565550837789,32,37,1,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,5c3e250360740ad3ea1275e5e0752a52fd423c3c4abedd0e2e31bbb3e074645e,True,False
1,0,greedy_fp32_original,fp32,greedy,fp32,,1.0,,,0.0,0.8263047829103828,0.7817136185608513,0.6022445017952622,0.7367543010888321,7.2796849223474664,10.844777602081496,44.834084330730555,1.0,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,c85eb9c4cf7e2ee3713815ef042486587c9a2cae118496e32ea30aa7791686a5,True,False
1,1,greedy_bops_0.30_prune_quant,greedy,greedy,prune_quant,0.3,0.3019222021102905,5464791,4316459,0.21013283033148022,0.8262166848304207,0.7816195981177623,0.6026355858555008,0.7368239562678945,6.731912959367037,10.190058049435418,34.76190254401137,1.0813694363380382,0,26,44,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,529d8537ed038c526e69cc686574b7cc8c1c2ad43df173b170e29f153f6d5d8b,True,False
