assigned_method,gpu_id,budget,variant,actual_bops,repeat_count,engine_sha256,frame_order_hash,int8_count,fp16_count,fp32_count,parameter_count_base,parameter_count_pruned,parameter_reduction,AP@0.3_across_runs_mean,AP@0.3_across_runs_std,AP@0.3_across_runs_min,AP@0.3_across_runs_max,AP@0.5_across_runs_mean,AP@0.5_across_runs_std,AP@0.5_across_runs_min,AP@0.5_across_runs_max,AP@0.7_across_runs_mean,AP@0.7_across_runs_std,AP@0.7_across_runs_min,AP@0.7_across_runs_max,mAP_across_runs_mean,mAP_across_runs_std,mAP_across_runs_min,mAP_across_runs_max,forward_mean_ms_across_runs_mean,forward_mean_ms_across_runs_std,forward_mean_ms_across_runs_min,forward_mean_ms_across_runs_max,forward_p50_ms_across_runs_mean,forward_p50_ms_across_runs_std,forward_p50_ms_across_runs_min,forward_p50_ms_across_runs_max,forward_p90_ms_across_runs_mean,forward_p90_ms_across_runs_std,forward_p90_ms_across_runs_min,forward_p90_ms_across_runs_max,forward_p99_ms_across_runs_mean,forward_p99_ms_across_runs_std,forward_p99_ms_across_runs_min,forward_p99_ms_across_runs_max,postprocess_mean_ms_across_runs_mean,postprocess_mean_ms_across_runs_std,postprocess_mean_ms_across_runs_min,postprocess_mean_ms_across_runs_max,postprocess_p50_ms_across_runs_mean,postprocess_p50_ms_across_runs_std,postprocess_p50_ms_across_runs_min,postprocess_p50_ms_across_runs_max,postprocess_p90_ms_across_runs_mean,postprocess_p90_ms_across_runs_std,postprocess_p90_ms_across_runs_min,postprocess_p90_ms_across_runs_max,postprocess_p99_ms_across_runs_mean,postprocess_p99_ms_across_runs_std,postprocess_p99_ms_across_runs_min,postprocess_p99_ms_across_runs_max,total_mean_ms_across_runs_mean,total_mean_ms_across_runs_std,total_mean_ms_across_runs_min,total_mean_ms_across_runs_max,total_p50_ms_across_runs_mean,total_p50_ms_across_runs_std,total_p50_ms_across_runs_min,total_p50_ms_across_runs_max,total_p90_ms_across_runs_mean,total_p90_ms_across_runs_std,total_p90_ms_across_runs_min,total_p90_ms_across_runs_max,total_p99_ms_across_runs_mean,total_p99_ms_across_runs_std,total_p99_ms_across_runs_min,total_p99_ms_across_runs_max,speedup_vs_same_gpu_fp32_across_runs_mean,speedup_vs_same_gpu_fp32_across_runs_std,speedup_vs_same_gpu_fp32_across_runs_min,speedup_vs_same_gpu_fp32_across_runs_max
ga,0,,fp32,1.0,5,c85eb9c4cf7e2ee3713815ef042486587c9a2cae118496e32ea30aa7791686a5,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,0,1,69,,,0.0,0.8262275062073531,3.293581686875707e-05,0.8261893376285537,0.8262782977269028,0.7816153641747439,3.718819742137941e-05,0.7815794232374342,0.7816799721842883,0.6022858379400624,0.00011840096550542055,0.6021594796034483,0.6024389977614132,0.7367095694407199,3.4015946203609475e-05,0.736660416961171,0.7367527051234636,8.872619615296829,0.3027893013695673,8.316767444594298,9.228148616550868,7.169624681894978,0.09358364003961692,6.9902757337937755,7.261401663223903,7.47696550252537,0.2043787487794897,7.07074406867226,7.612353377044201,30.612324046575804,3.436401228767486,23.885951510926127,33.4682761101509,5.297477202164087,0.6063076446484976,4.167585605843947,5.884247917766267,4.865111829712987,0.5072059885577446,3.9900019764900208,5.4219800513237715,6.834349138662219,0.8880414948097239,5.117249907925725,7.66292167827487,13.71262681297955,4.078585150722562,6.20571257546544,18.06174719706175,14.170096817460916,0.9040501279201031,12.484353050438246,15.112396534317135,12.054403886819879,0.5949346785589779,11.00048772059381,12.700166320428252,14.470052585626643,1.1677580652441766,12.21045522640149,15.468914387747645,52.129001745940215,12.424724758140782,30.17650187945403,68.54560639397573,1.0,0.0,1.0,1.0
ga,0,0.3,prune_quant,0.3042234480381012,5,2a18f8e1e1aeb90af046ad7b8a38934bf222ff0d6dec06d3ba1945fb8b0e98fb,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,0,26,44,,,,0.8261820795071222,4.7255001691465016e-05,0.8261023832306595,0.8262495220413046,0.7816602806859676,6.831647282043926e-05,0.7815782439249956,0.7817854751498126,0.6023304026069223,0.00011960590378254466,0.602130843318486,0.6024635204028532,0.7367242542666707,6.829955678128939e-05,0.7366222751346131,0.7368127067643083,8.272600018764471,0.3161630646834685,7.864102700521129,8.66966111432273,6.698779373740156,0.09077602625996649,6.5747172726939125,6.847573754688104,7.005195130283634,0.21474063652617104,6.713682288924852,7.326864404603839,30.776177541649417,4.335078122038024,23.645081231357477,36.54657015265067,5.270779409376585,0.5767089566333576,4.375741287624456,6.07514014306737,4.779674438759685,0.4900311121082663,4.041131120175123,5.475096171721816,6.767416950315237,0.8548124990350884,5.493553029373288,7.845751615241172,14.678464820608431,2.872785783763529,10.069570401683439,18.185321483761033,13.543379428141057,0.8818525136306932,12.239843988145585,14.7448012573901,11.503442159543436,0.5846464926456976,10.634938177342217,12.379010596002143,13.996935347095132,1.2404557290129308,12.181401206180453,15.667774279912313,51.53136081681964,7.616403245748428,36.59398638952574,57.793196225526444,1.0703400751861987,0.009906184638779104,1.0542477145837266,1.078884733595166
ga,0,0.3,prune_only,0.3042234480381012,5,da7aa305ac08104fff6d52383e0d979bf1f7f2f0f31504040c802665838d4779,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,0,1,69,5464791,4316459,0.21013283033148022,0.8262102005752542,6.298766353891287e-05,0.8261402646797599,0.8263062145216417,0.7815579462382469,9.633084562721904e-05,0.7814730253522179,0.7817385048981693,0.6022789478011852,0.0001743254809364305,0.6019724563602515,0.602482351856907,0.736682364871562,9.580676567430182e-05,0.7365414540888322,0.7368423570922392,7.914525245959941,0.22793344394340245,7.516431928092924,8.21460282824134,6.148081785067916,0.04257536897992097,6.064433992529909,6.179522257298231,6.4588905063768225,0.18839193421163763,6.15051055016617,6.694503780454397,32.134806095295396,4.97665187383673,24.503464664626733,38.96849638780741,5.128170551743636,0.500591358401189,4.2398541118343696,5.609574412761487,4.635348776355386,0.34214849920590684,4.053393844515085,5.056212889030576,6.59517521969974,0.8520045457669727,5.09525197558105,7.427080906927586,13.33006728067993,4.5830267653531855,6.395400054752819,18.194874431937905,13.042695797703576,0.7225973388311888,11.756286039927293,13.824177241002825,10.802937842284638,0.38109429708231446,10.132194341470797,11.258545176436503,13.274499466642737,1.2587363199549606,11.159191808352867,14.571744265655678,54.10559847080257,9.34961528766387,36.74528681361146,64.45095479797497,1.1661150652199068,0.00849321585054912,1.152667461201541,1.1786846777470206
ga,0,0.3,quant_only,0.3042234480381012,5,2748bf5bfb7dc4982c17917905b246cd2dabcecf54ee1ab8bb329a0084fd747e,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,0,26,44,5464791,5464791,0.0,0.8261259951430915,2.20731743491241e-05,0.8260999765581217,0.8261615399488119,0.7816086816879698,3.8933149041930214e-05,0.7815531876537695,0.7816694465996064,0.6024314137791726,8.544535637199152e-05,0.6023517675300103,0.6025821861116311,0.7367220302034114,2.0517334464626507e-05,0.736705047241899,0.7367571799221359,8.936525703138335,0.3660137567841721,8.463686536218418,9.289023788692369,7.318919415896137,0.09049397809451888,7.204888698955377,7.408671624337633,7.633198071271181,0.29663818075203857,7.2790975527217,7.969717836628358,30.924677550778462,6.794407048401005,22.729705590741077,40.010326405351194,5.207900433812047,0.8758117283262845,4.1072171283214285,6.062295630781418,4.785355180501938,0.6899076711541696,3.9103501476347446,5.397862987592816,6.6926260478794575,1.3211012684795778,5.021231295540929,8.10396014712751,12.869452564045762,5.85594253098999,5.983676556497811,20.552098071202614,14.144426136950383,1.2409524333303645,12.631311255961988,15.351319419473787,12.143619374061624,0.8038706685565026,11.12987791808943,12.87730721135934,14.557809755206108,1.8331593895366627,12.256433566411335,16.46112017333508,48.42607264095281,15.819784208322627,29.2591781914101,65.98858427875986,0.9796385964581645,0.009551381755314283,0.9702128687716276,0.9972132079637922
ga,0,0.25,prune_quant,0.25451675057411194,5,6c950f8ddadf52420fe8581a8fca2afa9cf73b1e793cd0287ceddb310e7f6233,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,1,29,40,,,,0.8262089342552791,8.832833539969109e-05,0.8260892958390731,0.8263039093338418,0.7816410047002471,0.00011106675815552161,0.781499647796916,0.781841349550466,0.602345443194969,0.00012237689990930432,0.6022120451755613,0.6025269309409502,0.7367317940501651,8.090656090906327e-05,0.7366122999894641,0.7368614279438702,6.644154119900338,0.2860568586867456,6.201240786588823,7.104098618935321,5.020241703217229,0.06504581463756018,4.898404004052281,5.088717599088947,5.432487207775315,0.37631094499468776,4.970811493694782,6.120115083952745,28.2085684761263,5.182097096633326,20.57539466456698,33.489697743193986,5.204751041377887,0.6083352329606205,4.116234872068495,5.957806215982295,4.720615642145276,0.4114396292226931,3.9299060590565205,5.057834088802338,6.861660107970238,1.1364619222493524,4.933610046282411,8.46585142426193,12.815927317365967,5.144525663977223,5.915026841685176,20.62582755461328,11.848905161278227,0.8843425696602402,10.317475658657319,13.061904834917616,9.766455056766668,0.4835350050288772,8.837384559834998,10.159608830387395,12.408602737511199,1.6511568363395386,9.841964036847154,15.021580845738454,47.091849140189666,13.252600917335792,30.49618559267327,61.38656532701175,1.4281482470106381,0.0044371714984272675,1.4217214015393975,1.4353835499480452
ga,0,0.25,prune_only,0.25451675057411194,5,c9279cf04147c6c6d5d0196e426e098690a550af59b9cec493411f4e6f0a046a,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,0,1,69,5464791,4334751,0.2067855842977343,0.826194633822869,4.220488660532407e-05,0.8261328684132317,0.8262485191493033,0.7815538193142938,6.977178144312742e-05,0.7814529457901858,0.7816703001786751,0.6023804190745843,6.836155118280275e-05,0.6023084946868651,0.6025100351628948,0.7367096240705824,3.917784509889602e-05,0.7366457458129615,0.7367541046762621,7.852776778540161,0.19944462418983613,7.589028212430106,8.04499971751663,6.180445679153005,0.05622532170162919,6.110124057158828,6.2463410043468075,6.4831107047696905,0.1756831465632891,6.264655028159419,6.671205520009001,30.235154500215437,3.926353983046095,24.105049300302806,35.8133266276207,5.1423163447880995,0.4793581267667335,4.487346567431139,5.629351266017918,4.728838382288814,0.33772141739068845,4.3192419689148664,5.095866043120623,6.667541321367025,0.6792179528517908,5.80622348934412,7.385165337473154,13.181392159312944,4.513495971480443,7.550024390220639,17.317537153139668,12.995093123328257,0.6717842325834563,12.120054129940424,13.624461025182864,10.928790022929508,0.38963442179454266,10.457096233343083,11.356552829965949,13.27784805248181,0.9628558565223883,12.085336539894342,14.233296659464635,48.0421328587938,8.951794994987116,31.51332723285777,55.473535846283355,1.1600455763137454,0.010504663423380687,1.144048086160171,1.1759087431845903
ga,0,0.25,quant_only,0.25451675057411194,5,7a2a13752e0d2c96f27b18bf1b6f47acc174b6d88c21c73791cf93b2e9827cba,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,1,29,40,5464791,5464791,0.0,0.8262032264722986,9.227224397044769e-05,0.8260643772009828,0.826330673573453,0.781717247786343,8.392588473037927e-05,0.7815549399571413,0.7817777397794163,0.6023077594156089,0.00019932454592370562,0.6020635331349667,0.6024900312666818,0.7367427445580835,0.00010979821306551283,0.736560950097697,0.736866148206517,6.66257196696184,0.31082852092563973,6.2104651660354575,6.996667949968328,5.138671273986499,0.08867104521224506,4.995547778283556,5.2378263014058275,5.411050459370017,0.22589931942388866,5.077707922707001,5.640763261665901,26.496172492067945,4.681724043028259,20.24437642654936,32.34854744124834,5.189452613321278,0.7021811224625659,4.156700991637601,5.92498599953508,4.7481107991188765,0.521068964107676,4.048807080835104,5.40009792894125,6.665651667863131,1.0956640126861354,4.9607178196311,7.985458802431822,13.528112737461901,5.588482683962465,5.879505760967731,20.054186172783346,11.852024580283118,1.0128238153459173,10.367166157673058,12.921653949503408,9.919833873088162,0.6192184638503562,9.059455323343474,10.678340215235949,12.236849429706734,1.4682375446202383,9.982133253167074,13.912643849228822,45.483610532544894,13.467968298950668,26.599347917350073,63.269704192243665,1.3953579334253334,0.010567890119393108,1.3831024252191915,1.4129991858148676
ga,0,0.2,prune_quant,0.2043001502752304,5,932907fbb35315efc2c5ff1615465d73aa6d6c1ac74d71fd28034b250563a8d4,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,3,29,38,,,,0.8262603806874107,4.6826038984765566e-05,0.826181071689377,0.8263014730534375,0.7815529384057419,7.449687096850003e-05,0.7814700997782699,0.7816768322980555,0.6021264056651617,0.000167819030623173,0.6018755573864963,0.6023351348767095,0.7366465749194381,4.9474094438827514e-05,0.736574518323846,0.7367198619439806,6.366798754245979,0.21159814902607532,6.089288456374489,6.578443443211073,4.905585463469227,0.0466030756437454,4.850440037747224,4.966333353271087,5.181800173595548,0.14218153180691026,4.993561593194802,5.303341072673598,26.32803979390551,4.527023642106536,20.6880051425222,33.18373794976605,5.204507420380908,0.457614233340131,4.650635757109243,5.7249737937573935,4.77069872431457,0.36944216955433895,4.294132813811302,5.225274944677949,6.708712335675955,0.6724304441580937,5.873378133401275,7.395710190758111,13.12952435016631,3.5882579435606234,8.569088056683526,17.66577130183576,11.571306174626887,0.6653532484618435,10.746035906995516,12.282064675542786,9.696233582993349,0.41629867575109597,9.164514020085335,10.209701023995876,11.96487755825122,0.8787638282155243,10.827055837338168,12.843117443844676,48.4299446480862,9.500035303245173,32.73709696716408,58.199417081962004,1.4615508847289866,0.016033689890189193,1.4407571763071416,1.4828795558423158
ga,0,0.2,prune_only,0.2043001502752304,5,f9919a0d448f23cddffc4dffa911f500402ccfaf5a09e9dad1dac821b2a1fbd2,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,0,1,69,5464791,4298167,0.21348007636522603,0.8261949508815633,3.3287688612170196e-05,0.8261319177821401,0.8262312757814765,0.7815604123044932,7.178784486784178e-05,0.7814557518384403,0.7816604573217434,0.6022292287407047,0.0001800127058953299,0.6019646111917167,0.6024928034900886,0.7366615306422537,8.445902595035627e-05,0.7365174269374325,0.7367703336239947,7.9864460414177305,0.4472578508619596,7.36916630772847,8.55660723647766,6.14653566541771,0.10809372736559121,5.975767038762569,6.276759319007397,6.642087794219455,0.5643437449356534,6.061152166997393,7.65542561809222,30.627375727502624,5.61396196911098,23.54211471042003,36.78803592918453,5.3122707086111856,0.8427681860608558,4.145142356534538,6.48842086206524,4.765188414603472,0.5002104867281382,3.985455958172679,5.287280073389411,7.177705131471157,1.7833238832642782,5.008877208456397,10.026389546692375,13.432674821466197,6.568543568659005,5.8736705314367965,23.850401332601898,13.298716750028916,1.288640105580659,11.514308664263009,15.045028098542899,10.959162438909214,0.6409945508798357,9.96285902025799,11.6929995516936,13.891925774514675,2.4206850107545437,11.025875077272454,17.794202687218785,49.13614255747193,16.251086936015323,31.53256578369461,71.86541631195468,1.1666049435075123,0.013171402999921547,1.1501219999725998,1.1828303795518034
ga,0,0.2,quant_only,0.2043001502752304,5,f880f95066d88cedca847e79a5c55cc87a46d9817beaa71f0861c249cef89e41,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,3,29,38,5464791,5464791,0.0,0.8262620441279221,7.223535919864564e-05,0.8261440762271595,0.8263404888532437,0.7816183213471998,6.700283430325314e-05,0.7815418151466298,0.7817383340000047,0.6023494214037317,0.0001067708787882064,0.6021718523863342,0.602480140365927,0.7367432622929513,4.742529047081371e-05,0.7366777491383129,0.7368106913832858,6.537340791602377,0.2256148578703898,6.1919453033446175,6.792814542407711,5.022647821654876,0.05771866428583011,4.916648458068569,5.081869972248872,5.3350461926311255,0.1818081517639927,5.047348638375601,5.521534057334065,24.329303792354004,3.4721136625493947,19.56994186154226,27.996765188859918,5.190436196471307,0.505779356431776,4.285831418634919,5.6160210464941,4.794255085289478,0.40583151583785093,4.1155030485242605,5.2441980224102736,6.750573609024286,0.8025079763400609,5.268149822950363,7.375015877187254,12.47886930219826,3.519289741992343,7.176847169175739,15.431753778830158,11.727776988073684,0.7254211141437632,10.477776721979536,12.384538034960011,9.843416480968395,0.4715518106793679,9.034625021740794,10.369444576402504,12.175576422984403,1.057436961585983,10.30148851374785,13.10901095469793,44.86117835093398,10.800252543662323,32.516225905456494,61.39526148636108,1.427445957048434,0.006483348785016959,1.4205477552053167,1.4352668701994469
