gpu_id,repeat_index,sequence_index,item_id,method,assigned_method,variant,budget,actual_bops,parameter_count_base,parameter_count_pruned,parameter_reduction,AP@0.3,AP@0.5,AP@0.7,mAP,forward_p50_ms,forward_mean_ms,forward_p90_ms,forward_p99_ms,postprocess_mean_ms,postprocess_p50_ms,postprocess_p90_ms,postprocess_p99_ms,total_mean_ms,total_p50_ms,total_p90_ms,total_p99_ms,speedup_vs_same_gpu_fp32,int8_count,fp16_count,fp32_count,evaluated_frames,skipped_frames,frame_order_hash,engine_sha256,cache_cleanup_passed,engine_build_invoked
0,0,0,ga_fp32_original,fp32,ga,fp32,,1.0,,,0.0,0.8262782977269028,0.7816799721842883,0.6021594796034483,0.7367059165048798,7.184788662319382,8.930912546835005,7.593724566201369,32.38129580702254,5.671071230140793,5.170513177290559,7.242987956851721,18.06174719706175,14.601983776975798,12.395808318008978,15.148751499752205,56.30396026495708,1.0,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,c85eb9c4cf7e2ee3713815ef042486587c9a2cae118496e32ea30aa7791686a5,True,False
0,0,1,ga_bops_0.30_prune_quant,ga,ga,prune_quant,0.3,0.3042234480381012,,,,0.8261828653875013,0.7816585377895188,0.6023931251607855,0.7367448427792684,6.659459012250106,8.184264146563034,7.00065428391099,28.80566923256817,5.349371536328239,4.882468841969967,6.855479395017028,16.38781050220119,13.533635682891273,11.56610855832696,14.275960934658846,54.80515860951314,1.078884733595166,0,26,44,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,2a18f8e1e1aeb90af046ad7b8a38934bf222ff0d6dec06d3ba1945fb8b0e98fb,True,False
0,0,2,ga_bops_0.30_prune_only,ga,ga,prune_only,0.3,0.3042234480381012,5464791,4316459,0.21013283033148022,0.8263062145216417,0.7817385048981693,0.602482351856907,0.7368423570922392,6.179522257298231,7.990948424487335,6.694503780454397,35.66144950686269,5.488398687522536,4.827721975743771,7.427080906927586,17.578830299898975,13.47934711200987,11.011404528593022,14.571744265655678,56.178727600088465,1.1626770425228092,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,da7aa305ac08104fff6d52383e0d979bf1f7f2f0f31504040c802665838d4779,True,False
0,0,3,ga_bops_0.30_quant_only,ga,ga,quant_only,0.3,0.3042234480381012,5464791,5464791,0.0,0.8261615399488119,0.7815949212379251,0.6023586805389601,0.736705047241899,7.391099352389574,9.273535739576667,7.904575020074844,40.010326405351194,5.988948701143206,5.397862987592816,7.851251680403949,17.072724718600494,15.262484440719874,12.87730721135934,16.25086550290386,65.98858427875986,0.9720866030567575,0,26,44,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,2748bf5bfb7dc4982c17917905b246cd2dabcecf54ee1ab8bb329a0084fd747e,True,False
0,0,4,ga_bops_0.25_prune_quant,ga,ga,prune_quant,0.25,0.25451675057411194,,,,0.8263004882426767,0.781841349550466,0.6024424460384679,0.7368614279438702,5.0256506850322085,6.609119061588511,5.411711816365521,33.489697743193986,5.311565107836187,4.7193539794534445,6.940879626199603,15.393846826627751,11.920684169424698,9.78107036401828,12.378290435299277,54.905405985180394,1.4296235676939684,1,29,40,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,6c950f8ddadf52420fe8581a8fca2afa9cf73b1e793cd0287ceddb310e7f6233,True,False
0,0,5,ga_bops_0.25_prune_only,ga,ga,prune_only,0.25,0.25451675057411194,5464791,4334751,0.2067855842977343,0.8261328684132317,0.7814529457901858,0.6023514232354673,0.7366457458129615,6.222351298977931,8.025347228273569,6.599207532902559,31.563441529854085,5.365062578929543,4.841750022023916,6.992084486410024,16.078128255903696,13.390409807203111,11.056335332492988,13.846790511161089,52.52696945641048,1.1546742247580168,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,c9279cf04147c6c6d5d0196e426e098690a550af59b9cec493411f4e6f0a046a,True,False
0,0,6,ga_bops_0.25_quant_only,ga,ga,quant_only,0.25,0.25451675057411194,5464791,5464791,0.0,0.8261414285678179,0.7817672373561586,0.6024518811660367,0.7367868490300044,5.150208404908578,6.765488575294042,5.51617699675262,30.573880619666205,5.384853277735458,4.808861063793302,6.977820536121726,16.824178434908376,12.1503418530295,9.971573172758024,12.825841363519432,50.31933529922189,1.3950481412502995,1,29,40,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,7a2a13752e0d2c96f27b18bf1b6f47acc174b6d88c21c73791cf93b2e9827cba,True,False
0,0,7,ga_bops_0.20_prune_quant,ga,ga,prune_quant,0.2,0.2043001502752304,,,,0.8262324625103076,0.7814995485467319,0.6022901988586725,0.736674069971904,4.966333353271087,6.557090881785393,5.301787797361612,33.18373794976605,5.7249737937573935,5.225274944677949,7.395710190758111,16.374765001237385,12.282064675542786,10.209701023995876,12.843117443844676,58.199417081962004,1.4466988321650025,3,29,38,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,932907fbb35315efc2c5ff1615465d73aa6d6c1ac74d71fd28034b250563a8d4,True,False
0,0,8,ga_bops_0.20_prune_only,ga,ga,prune_only,0.2,0.2043001502752304,5464791,4298167,0.21348007636522603,0.8262022482243819,0.7815055208609012,0.6022155993004513,0.7366411227952447,6.233890385677417,8.317385105291585,6.745952398826679,34.101881235820926,5.792360195146677,5.064020864665508,8.034483948722482,16.820084284991005,14.109745300438263,11.341304673502844,15.07586472046872,63.160872195522956,1.1525368939477485,0,1,69,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,f9919a0d448f23cddffc4dffa911f500402ccfaf5a09e9dad1dac821b2a1fbd2,True,False
0,0,9,ga_bops_0.20_quant_only,ga,ga,quant_only,0.2,0.2043001502752304,5464791,5464791,0.0,0.8263404888532437,0.7817383340000047,0.6023532512966089,0.7368106913832858,5.043871700763702,6.661413085182047,5.521534057334065,27.996765188859918,5.469696816861788,4.832700127735734,7.375015877187254,15.431753778830158,12.131109902043836,9.914281001935404,13.10901095469793,50.17977456871597,1.4244590442757532,3,29,38,1789,0,6f09fef12c760797b7975ab048f11d4085c79ba0dbf59c2974a4097b651817b1,f880f95066d88cedca847e79a5c55cc87a46d9817beaa71f0861c249cef89e41,True,False
